STEP	TN	VDD	tCK	PATN	category
HFC	2008	0.980V	606.8PS	COB_N	3.2G_2_LVDD
HFC	2013	0.980V	606.8PS	RMW_A	3.2G_2_LVDD
HFC	2014	0.980V	606.8PS	RMW_B	3.2G_2_LVDD
HFC	2015	0.980V	606.8PS	DRMW_N	3.2G_2_LVDD
HFC	2016	0.980V	606.8PS	RMW_N	3.2G_2_LVDD
HFC	2017	0.980V	606.8PS	SEL_A	3.2G_2_LVDD
HFC	2018	0.980V	606.8PS	SEL_B	3.2G_2_LVDD
HFC	2019	0.980V	606.8PS	SEL_C	3.2G_2_LVDD
HFC	2020	0.980V	606.8PS	DSM_A	3.2G_2_LVDD
HFC	2022	0.980V	606.8PS	RRD_A	3.2G_2_LVDD
HFC	2023	0.980V	606.8PS	RRD_B	3.2G_2_LVDD
HFC	2024	0.980V	606.8PS	IOM_A	3.2G_2_LVDD
HFC	2025	0.980V	606.8PS	NIF_A	3.2G_2_LVDD
HFC	2026	0.980V	606.8PS	I2F_A	3.2G_2_LVDD
HFC	2027	0.980V	606.8PS	WRX_A	3.2G_2_LVDD
HFC	2028	0.980V	606.8PS	WRX_B	3.2G_2_LVDD
HFC	2029	0.980V	606.8PS	WRX_C	3.2G_2_LVDD
HFC	2030	0.980V	606.8PS	WDI_A	3.2G_2_LVDD
HFC	2031	0.980V	606.8PS	WDI_B	3.2G_2_LVDD
HFC	2032	0.980V	606.8PS	WDI_C	3.2G_2_LVDD
HFC	2033	0.980V	606.8PS	WDI_N	3.2G_2_LVDD
HFC	2034	0.980V	606.8PS	WDI_M	3.2G_2_LVDD
HFC	2035	0.980V	606.8PS	LDM_A	3.2G_2_LVDD
HFC	2036	0.980V	606.8PS	WDM_A	3.2G_2_LVDD
HFC	2037	0.980V	606.8PS	DWN_N	3.2G_2_LVDD
HFC	2038	0.980V	606.8PS	NV2_A	3.2G_2_LVDD
HFC	2039	0.980V	606.8PS	NV3_A	3.2G_2_LVDD
HFC	2040	0.980V	606.8PS	NV3_B	3.2G_2_LVDD
HFC	2041	0.980V	606.8PS	NV4_A	3.2G_2_LVDD
HFC	2042	0.980V	606.8PS	NV5_A	3.2G_2_LVDD
HFC	2043	0.980V	606.8PS	WFR_A	3.2G_2_LVDD
HFC	2044	0.980V	606.8PS	WFR_B	3.2G_2_LVDD
HFC	2045	0.980V	606.8PS	FCW_A	3.2G_2_LVDD
HFC	2046	0.980V	606.8PS	FCR_A	3.2G_2_LVDD
HFC	2047	0.980V	606.8PS	OTF_A	3.2G_2_LVDD
HFC	2048	0.980V	606.8PS	OTF_B	3.2G_2_LVDD
HFC	2049	0.980V	606.8PS	BLR_A	3.2G_2_LVDD
HFC	2050	0.980V	606.8PS	AAD_A	3.2G_2_LVDD
HFC	2051	0.980V	606.8PS	OCG_O	3.2G_2_LVDD
HFC	2052	0.980V	606.8PS	OCG_A	3.2G_2_LVDD
HFC	2053	0.980V	606.8PS	OCG_N	3.2G_2_LVDD
HFC	2054	0.980V	606.8PS	PDN_A	3.2G_2_LVDD
HFC	2055	0.980V	606.8PS	PDN_B	3.2G_2_LVDD
HFC	2056	0.980V	606.8PS	DPDN_A	3.2G_2_LVDD
HFC	2057	0.980V	606.8PS	ACM_A	3.2G_2_LVDD
HFC	2058	0.980V	606.8PS	ACM_B	3.2G_2_LVDD
HFC	2059	0.980V	606.8PS	ADC_A	3.2G_2_LVDD
HFC	2060	0.980V	606.8PS	ADC_N	3.2G_2_LVDD
HFC	2061	0.980V	606.8PS	DADC_A	3.2G_2_LVDD
HFC	2062	0.980V	606.8PS	DADC_B	3.2G_2_LVDD
HFC	2063	0.980V	606.8PS	DADC_C	3.2G_2_LVDD
HFC	2064	0.980V	606.8PS	DBI_A	3.2G_2_LVDD
HFC	2065	0.980V	606.8PS	D2I_A	3.2G_2_LVDD
HFC	2066	0.980V	606.8PS	DB2_A	3.2G_2_LVDD
HFC	2067	0.980V	606.8PS	DBG_A	3.2G_2_LVDD
HFC	2068	0.980V	606.8PS	DBG_B	3.2G_2_LVDD
HFC	2069	0.980V	606.8PS	GPB_A	3.2G_2_LVDD
HFC	2070	0.980V	606.8PS	PP4_A	3.2G_2_LVDD
HFC	2071	0.980V	606.8PS	PR2_A	3.2G_2_LVDD
HFC	2072	0.980V	606.8PS	PR3_A	3.2G_2_LVDD
HFC	2073	0.980V	606.8PS	PR3_N	3.2G_2_LVDD
HFC	2074	0.980V	606.8PS	APO_A	3.2G_2_LVDD
HFC	2075	0.980V	606.8PS	AWR_A	3.2G_2_LVDD
HFC	2076	0.980V	606.8PS	IAP_A	3.2G_2_LVDD
HFC	2077	0.980V	606.8PS	API_A	3.2G_2_LVDD
HFC	2078	0.980V	606.8PS	CCD_A	3.2G_2_LVDD
HFC	2079	0.980V	606.8PS	GPT_A	3.2G_2_LVDD
HFC	2080	0.980V	606.8PS	CIP_A	3.2G_2_LVDD
HFC	2081	0.980V	606.8PS	YMA_A	3.2G_2_LVDD
HFC	2082	0.980V	606.8PS	YCG_A	3.2G_2_LVDD
HFC	2083	0.980V	606.8PS	CYF_A	3.2G_2_LVDD
HFC	2084	0.980V	606.8PS	GLY_A	3.2G_2_LVDD
HFC	2085	0.980V	606.8PS	DYG_A	3.2G_2_LVDD
HFC	2086	0.980V	606.8PS	CJP_A	3.2G_2_LVDD
HFC	2087	0.980V	606.8PS	CJP_N	3.2G_2_LVDD
HFC	2088	0.980V	606.8PS	IPM_A	3.2G_2_LVDD
HFC	2089	0.980V	606.8PS	IPM_N	3.2G_2_LVDD
HFC	2090	0.980V	606.8PS	IPM_C	3.2G_2_LVDD
HFC	2091	0.980V	606.8PS	IPM_M	3.2G_2_LVDD
HFC	2092	0.980V	606.8PS	PBR_A	3.2G_2_LVDD
HFC	2093	0.980V	606.8PS	PBR_N	3.2G_2_LVDD
HFC	2094	0.980V	606.8PS	PBR_C	3.2G_2_LVDD
HFC	2095	0.980V	606.8PS	PBR_O	3.2G_2_LVDD
HFC	2096	0.980V	606.8PS	PBR_B	3.2G_2_LVDD
HFC	2097	0.980V	606.8PS	PBR_M	3.2G_2_LVDD
HFC	2098	0.980V	606.8PS	PGK_A	3.2G_2_LVDD
HFC	2099	0.980V	606.8PS	DPGK_A	3.2G_2_LVDD
HFC	2100	0.980V	606.8PS	PGK_N	3.2G_2_LVDD
HFC	2101	0.980V	606.8PS	PGK_M	3.2G_2_LVDD
HFC	2102	0.980V	606.8PS	DPBR_A	3.2G_2_LVDD
HFC	2103	0.980V	606.8PS	DPBR_B	3.2G_2_LVDD
HFC	2104	0.980V	606.8PS	DPBR_C	3.2G_2_LVDD
HFC	2105	0.980V	606.8PS	DPBR_N	3.2G_2_LVDD
HFC	2106	0.980V	606.8PS	DPBR_M	3.2G_2_LVDD
HFC	2107	0.980V	606.8PS	DPBR_O	3.2G_2_LVDD
HFC	2108	0.980V	606.8PS	DIPM_A	3.2G_2_LVDD
HFC	2109	0.980V	606.8PS	DIPM_B	3.2G_2_LVDD
HFC	2110	0.980V	606.8PS	DIPM_C	3.2G_2_LVDD
HFC	2111	0.980V	606.8PS	DIPM_D	3.2G_2_LVDD
HFC	2112	0.980V	606.8PS	DIPM_E	3.2G_2_LVDD
HFC	2113	0.980V	606.8PS	DIPM_F	3.2G_2_LVDD
HFC	2114	0.980V	606.8PS	DIPM_N	3.2G_2_LVDD
HFC	2115	0.980V	606.8PS	DIPM_M	3.2G_2_LVDD
HFC	2116	0.980V	606.8PS	DIPM_O	3.2G_2_LVDD
HFC	2117	0.980V	606.8PS	DIPM_P	3.2G_2_LVDD
HFC	2118	0.980V	606.8PS	DIPM_Q	3.2G_2_LVDD
HFC	2119	0.980V	606.8PS	DIPM_R	3.2G_2_LVDD
HFC	2120	0.980V	606.8PS	4YF_A	3.2G_2_LVDD
HFC	2121	0.980V	606.8PS	IRN_A	3.2G_2_LVDD
HFC	2123	0.980V	606.8PS	GIO_A	3.2G_2_LVDD
HFC	2124	0.980V	606.8PS	MAT_A	3.2G_2_LVDD
HFC	2125	0.980V	606.8PS	PCP_A	3.2G_2_LVDD
HFC	2126	0.980V	606.8PS	RPD_A	3.2G_2_LVDD
HFC	2127	0.980V	606.8PS	ECM_A	3.2G_2_LVDD
HFC	2128	0.980V	606.8PS	PRF_A	3.2G_2_LVDD
HFC	2133	0.980V	606.8PS	NWR_A	3.2G_2_LVDD
HFC	2134	0.980V	606.8PS	LFF_A	3.2G_2_LVDD
HFC	2135	0.980V	606.8PS	HRG_A	3.2G_2_LVDD
HFC	2136	0.980V	606.8PS	DPDS_A	3.2G_2_LVDD
HFC	2137	0.980V	606.8PS	DM6_A	3.2G_2_LVDD
HFC	2138	0.980V	606.8PS	D3P_A	3.2G_2_LVDD
HFC	2129	0.980V	606.8PS	DCF_E	3.2G_2_LVDD
HFC	2130	0.980V	606.8PS	DCF_F	3.2G_2_LVDD
HFC	1300	0.980V	1213.6PS	I4R_A	1.6G_2_LVDD
HFC	1301	0.980V	1213.6PS	I4R_B	1.6G_2_LVDD
HFC	1302	0.980V	1213.6PS	I8R_A	1.6G_2_LVDD
HFC	1303	0.980V	1213.6PS	I8R_B	1.6G_2_LVDD
HFC	1304	0.980V	1213.6PS	IYF_A	1.6G_2_LVDD
HFC	1305	0.980V	1213.6PS	IYF_B	1.6G_2_LVDD
HFC	1306	0.980V	1213.6PS	ROB_A	1.6G_2_LVDD
HFC	1307	0.980V	1213.6PS	COB_A	1.6G_2_LVDD
HFC	1308	0.980V	1213.6PS	COB_N	1.6G_2_LVDD
HFC	1313	0.980V	1213.6PS	RMW_A	1.6G_2_LVDD
HFC	1314	0.980V	1213.6PS	RMW_B	1.6G_2_LVDD
HFC	1315	0.980V	1213.6PS	DRMW_N	1.6G_2_LVDD
HFC	1316	0.980V	1213.6PS	RMW_N	1.6G_2_LVDD
HFC	1317	0.980V	1213.6PS	SEL_A	1.6G_2_LVDD
HFC	1318	0.980V	1213.6PS	SEL_B	1.6G_2_LVDD
HFC	1319	0.980V	1213.6PS	SEL_C	1.6G_2_LVDD
HFC	1320	0.980V	1213.6PS	DSM_A	1.6G_2_LVDD
HFC	1322	0.980V	1213.6PS	RRD_A	1.6G_2_LVDD
HFC	1323	0.980V	1213.6PS	RRD_B	1.6G_2_LVDD
HFC	1324	0.980V	1213.6PS	IOM_A	1.6G_2_LVDD
HFC	1325	0.980V	1213.6PS	NIF_A	1.6G_2_LVDD
HFC	1326	0.980V	1213.6PS	I2F_A	1.6G_2_LVDD
HFC	1327	0.980V	1213.6PS	WRX_A	1.6G_2_LVDD
HFC	1328	0.980V	1213.6PS	WRX_B	1.6G_2_LVDD
HFC	1329	0.980V	1213.6PS	WRX_C	1.6G_2_LVDD
HFC	1330	0.980V	1213.6PS	WDI_A	1.6G_2_LVDD
HFC	1331	0.980V	1213.6PS	WDI_B	1.6G_2_LVDD
HFC	1332	0.980V	1213.6PS	WDI_C	1.6G_2_LVDD
HFC	1333	0.980V	1213.6PS	WDI_N	1.6G_2_LVDD
HFC	1334	0.980V	1213.6PS	WDI_M	1.6G_2_LVDD
HFC	1335	0.980V	1213.6PS	LDM_A	1.6G_2_LVDD
HFC	1336	0.980V	1213.6PS	WDM_A	1.6G_2_LVDD
HFC	1337	0.980V	1213.6PS	DWN_N	1.6G_2_LVDD
HFC	1338	0.980V	1213.6PS	NV2_A	1.6G_2_LVDD
HFC	1339	0.980V	1213.6PS	NV3_A	1.6G_2_LVDD
HFC	1340	0.980V	1213.6PS	NV3_B	1.6G_2_LVDD
HFC	1341	0.980V	1213.6PS	NV4_A	1.6G_2_LVDD
HFC	1342	0.980V	1213.6PS	NV5_A	1.6G_2_LVDD
HFC	1343	0.980V	1213.6PS	WFR_A	1.6G_2_LVDD
HFC	1344	0.980V	1213.6PS	WFR_B	1.6G_2_LVDD
HFC	1345	0.980V	1213.6PS	FCW_A	1.6G_2_LVDD
HFC	1346	0.980V	1213.6PS	FCR_A	1.6G_2_LVDD
HFC	1347	0.980V	1213.6PS	OTF_A	1.6G_2_LVDD
HFC	1348	0.980V	1213.6PS	OTF_B	1.6G_2_LVDD
HFC	1349	0.980V	1213.6PS	BLR_A	1.6G_2_LVDD
HFC	1350	0.980V	1213.6PS	AAD_A	1.6G_2_LVDD
HFC	1351	0.980V	1213.6PS	OCG_O	1.6G_2_LVDD
HFC	1352	0.980V	1213.6PS	OCG_A	1.6G_2_LVDD
HFC	1353	0.980V	1213.6PS	OCG_N	1.6G_2_LVDD
HFC	1354	0.980V	1213.6PS	PDN_A	1.6G_2_LVDD
HFC	1355	0.980V	1213.6PS	PDN_B	1.6G_2_LVDD
HFC	1356	0.980V	1213.6PS	DPDN_A	1.6G_2_LVDD
HFC	1357	0.980V	1213.6PS	ACM_A	1.6G_2_LVDD
HFC	1358	0.980V	1213.6PS	ACM_B	1.6G_2_LVDD
HFC	1359	0.980V	1213.6PS	ADC_A	1.6G_2_LVDD
HFC	1360	0.980V	1213.6PS	ADC_N	1.6G_2_LVDD
HFC	1361	0.980V	1213.6PS	DADC_A	1.6G_2_LVDD
HFC	1362	0.980V	1213.6PS	DADC_B	1.6G_2_LVDD
HFC	1363	0.980V	1213.6PS	DADC_C	1.6G_2_LVDD
HFC	1364	0.980V	1213.6PS	DBI_A	1.6G_2_LVDD
HFC	1365	0.980V	1213.6PS	D2I_A	1.6G_2_LVDD
HFC	1366	0.980V	1213.6PS	DB2_A	1.6G_2_LVDD
HFC	1367	0.980V	1213.6PS	DBG_A	1.6G_2_LVDD
HFC	1368	0.980V	1213.6PS	DBG_B	1.6G_2_LVDD
HFC	1369	0.980V	1213.6PS	GPB_A	1.6G_2_LVDD
HFC	1370	0.980V	1213.6PS	PP4_A	1.6G_2_LVDD
HFC	1371	0.980V	1213.6PS	PR2_A	1.6G_2_LVDD
HFC	1372	0.980V	1213.6PS	PR3_A	1.6G_2_LVDD
HFC	1373	0.980V	1213.6PS	PR3_N	1.6G_2_LVDD
HFC	1374	0.980V	1213.6PS	APO_A	1.6G_2_LVDD
HFC	1375	0.980V	1213.6PS	AWR_A	1.6G_2_LVDD
HFC	1376	0.980V	1213.6PS	IAP_A	1.6G_2_LVDD
HFC	1377	0.980V	1213.6PS	API_A	1.6G_2_LVDD
HFC	1378	0.980V	1213.6PS	CCD_A	1.6G_2_LVDD
HFC	1379	0.980V	1213.6PS	GPT_A	1.6G_2_LVDD
HFC	1380	0.980V	1213.6PS	CIP_A	1.6G_2_LVDD
HFC	1381	0.980V	1213.6PS	YMA_A	1.6G_2_LVDD
HFC	1382	0.980V	1213.6PS	YCG_A	1.6G_2_LVDD
HFC	1383	0.980V	1213.6PS	CYF_A	1.6G_2_LVDD
HFC	1384	0.980V	1213.6PS	GLY_A	1.6G_2_LVDD
HFC	1385	0.980V	1213.6PS	DYG_A	1.6G_2_LVDD
HFC	1386	0.980V	1213.6PS	CJP_A	1.6G_2_LVDD
HFC	1387	0.980V	1213.6PS	CJP_N	1.6G_2_LVDD
HFC	1388	0.980V	1213.6PS	IPM_A	1.6G_2_LVDD
HFC	1389	0.980V	1213.6PS	IPM_N	1.6G_2_LVDD
HFC	1390	0.980V	1213.6PS	IPM_C	1.6G_2_LVDD
HFC	1391	0.980V	1213.6PS	IPM_M	1.6G_2_LVDD
HFC	1392	0.980V	1213.6PS	PBR_A	1.6G_2_LVDD
HFC	1393	0.980V	1213.6PS	PBR_N	1.6G_2_LVDD
HFC	1394	0.980V	1213.6PS	PBR_C	1.6G_2_LVDD
HFC	1395	0.980V	1213.6PS	PBR_O	1.6G_2_LVDD
HFC	1396	0.980V	1213.6PS	PBR_B	1.6G_2_LVDD
HFC	1397	0.980V	1213.6PS	PBR_M	1.6G_2_LVDD
HFC	1398	0.980V	1213.6PS	PGK_A	1.6G_2_LVDD
HFC	1399	0.980V	1213.6PS	DPGK_A	1.6G_2_LVDD
HFC	1400	0.980V	1213.6PS	PGK_N	1.6G_2_LVDD
HFC	1401	0.980V	1213.6PS	PGK_M	1.6G_2_LVDD
HFC	1402	0.980V	1213.6PS	DPBR_A	1.6G_2_LVDD
HFC	1403	0.980V	1213.6PS	DPBR_B	1.6G_2_LVDD
HFC	1404	0.980V	1213.6PS	DPBR_C	1.6G_2_LVDD
HFC	1405	0.980V	1213.6PS	DPBR_N	1.6G_2_LVDD
HFC	1406	0.980V	1213.6PS	DPBR_M	1.6G_2_LVDD
HFC	1407	0.980V	1213.6PS	DPBR_O	1.6G_2_LVDD
HFC	1408	0.980V	1213.6PS	DIPM_A	1.6G_2_LVDD
HFC	1409	0.980V	1213.6PS	DIPM_B	1.6G_2_LVDD
HFC	1410	0.980V	1213.6PS	DIPM_C	1.6G_2_LVDD
HFC	1411	0.980V	1213.6PS	DIPM_D	1.6G_2_LVDD
HFC	1412	0.980V	1213.6PS	DIPM_E	1.6G_2_LVDD
HFC	1413	0.980V	1213.6PS	DIPM_F	1.6G_2_LVDD
HFC	1414	0.980V	1213.6PS	DIPM_N	1.6G_2_LVDD
HFC	1415	0.980V	1213.6PS	DIPM_M	1.6G_2_LVDD
HFC	1416	0.980V	1213.6PS	DIPM_O	1.6G_2_LVDD
HFC	1417	0.980V	1213.6PS	DIPM_P	1.6G_2_LVDD
HFC	1418	0.980V	1213.6PS	DIPM_Q	1.6G_2_LVDD
HFC	1419	0.980V	1213.6PS	DIPM_R	1.6G_2_LVDD
HFC	1420	0.980V	1213.6PS	4YF_A	1.6G_2_LVDD
HFC	1421	0.980V	1213.6PS	IRN_A	1.6G_2_LVDD
HFC	1423	0.980V	1213.6PS	GIO_A	1.6G_2_LVDD
HFC	1424	0.980V	1213.6PS	MAT_A	1.6G_2_LVDD
HFC	1425	0.980V	1213.6PS	PCP_A	1.6G_2_LVDD
HFC	1426	0.980V	1213.6PS	RPD_A	1.6G_2_LVDD
HFC	1427	0.980V	1213.6PS	ECM_A	1.6G_2_LVDD
HFC	1428	0.980V	1213.6PS	PRF_A	1.6G_2_LVDD
HFC	1433	0.980V	1213.6PS	NWR_A	1.6G_2_LVDD
HFC	1434	0.980V	1213.6PS	LFF_A	1.6G_2_LVDD
HFC	1435	0.980V	1213.6PS	HRG_A	1.6G_2_LVDD
HFC	1436	0.980V	1213.6PS	DPDS_A	1.6G_2_LVDD
HFC	1437	0.980V	1213.6PS	DM6_A	1.6G_2_LVDD
HFC	1438	0.980V	1213.6PS	D3P_A	1.6G_2_LVDD
HFC	1497	0.980V	1213.6PS	FSP_A	1.6G_2_LVDD
HFC	1429	0.980V	1213.6PS	DCF_E	1.6G_2_LVDD
HFC	1430	0.980V	1213.6PS	DCF_F	1.6G_2_LVDD
HFC	1555	0.980V	1213.6PS	ADC_Z	1.6G_2_LVDD
HFC	1489	0.980V	1445.0PS	DCF_E	1.6G_2_LVDD
HFC	1492	1.090V	1230.0PS	RMW_B	1.6G_2_LVDD
HFC	1493	1.050V	1230.0PS	ACM_B	1.6G_2_LVDD
HFC	1494	1.050V	1230.0PS	DRMW_N	1.6G_2_LVDD
HFC	1200	1.200V	1250.0PS	PRF_A	1.6G_2_HVDD
HFC	139	0.980V	1213.6PS	RDC_A	1.6G_2_LVDD
HFC	141	0.980V	1213.6PS	WTR_A	1.6G_2_LVDD
HFC	1000	0.980V	1213.6PS	I4R_A	1.6G_2_LVDD
HFC	1001	0.980V	1213.6PS	I4R_B	1.6G_2_LVDD
HFC	1002	0.980V	1213.6PS	I8R_A	1.6G_2_LVDD
HFC	1003	0.980V	1213.6PS	I8R_B	1.6G_2_LVDD
HFC	1004	0.980V	1213.6PS	IYF_A	1.6G_2_LVDD
HFC	1005	0.980V	1213.6PS	IYF_B	1.6G_2_LVDD
HFC	1006	0.980V	1213.6PS	ROB_A	1.6G_2_LVDD
HFC	1007	0.980V	1213.6PS	COB_A	1.6G_2_LVDD
HFC	1008	0.980V	1213.6PS	COB_N	1.6G_2_LVDD
HFC	1013	0.980V	1213.6PS	RMW_A	1.6G_2_LVDD
HFC	1014	0.980V	1213.6PS	RMW_B	1.6G_2_LVDD
HFC	1015	0.980V	1213.6PS	DRMW_N	1.6G_2_LVDD
HFC	1016	0.980V	1213.6PS	RMW_N	1.6G_2_LVDD
HFC	1017	0.980V	1213.6PS	SEL_A	1.6G_2_LVDD
HFC	1018	0.980V	1213.6PS	SEL_B	1.6G_2_LVDD
HFC	1019	0.980V	1213.6PS	SEL_C	1.6G_2_LVDD
HFC	1020	0.980V	1213.6PS	DSM_A	1.6G_2_LVDD
HFC	1022	0.980V	1213.6PS	RRD_A	1.6G_2_LVDD
HFC	1023	0.980V	1213.6PS	RRD_B	1.6G_2_LVDD
HFC	1024	0.980V	1213.6PS	IOM_A	1.6G_2_LVDD
HFC	1025	0.980V	1213.6PS	NIF_A	1.6G_2_LVDD
HFC	1026	0.980V	1213.6PS	I2F_A	1.6G_2_LVDD
HFC	1027	0.980V	1213.6PS	WRX_A	1.6G_2_LVDD
HFC	1028	0.980V	1213.6PS	WRX_B	1.6G_2_LVDD
HFC	1029	0.980V	1213.6PS	WRX_C	1.6G_2_LVDD
HFC	1030	0.980V	1213.6PS	WDI_A	1.6G_2_LVDD
HFC	1031	0.980V	1213.6PS	WDI_B	1.6G_2_LVDD
HFC	1032	0.980V	1213.6PS	WDI_C	1.6G_2_LVDD
HFC	1033	0.980V	1213.6PS	WDI_N	1.6G_2_LVDD
HFC	1034	0.980V	1213.6PS	WDI_M	1.6G_2_LVDD
HFC	1035	0.980V	1213.6PS	LDM_A	1.6G_2_LVDD
HFC	1036	0.980V	1213.6PS	WDM_A	1.6G_2_LVDD
HFC	1037	0.980V	1213.6PS	DWN_N	1.6G_2_LVDD
HFC	1038	0.980V	1213.6PS	NV2_A	1.6G_2_LVDD
HFC	1039	0.980V	1213.6PS	NV3_A	1.6G_2_LVDD
HFC	1040	0.980V	1213.6PS	NV3_B	1.6G_2_LVDD
HFC	1041	0.980V	1213.6PS	NV4_A	1.6G_2_LVDD
HFC	1042	0.980V	1213.6PS	NV5_A	1.6G_2_LVDD
HFC	1043	0.980V	1213.6PS	WFR_A	1.6G_2_LVDD
HFC	1044	0.980V	1213.6PS	WFR_B	1.6G_2_LVDD
HFC	1045	0.980V	1213.6PS	FCW_A	1.6G_2_LVDD
HFC	1046	0.980V	1213.6PS	FCR_A	1.6G_2_LVDD
HFC	1047	0.980V	1213.6PS	OTF_A	1.6G_2_LVDD
HFC	1048	0.980V	1213.6PS	OTF_B	1.6G_2_LVDD
HFC	1049	0.980V	1213.6PS	BLR_A	1.6G_2_LVDD
HFC	1050	0.980V	1213.6PS	AAD_A	1.6G_2_LVDD
HFC	1051	0.980V	1213.6PS	OCG_O	1.6G_2_LVDD
HFC	1052	0.980V	1213.6PS	OCG_A	1.6G_2_LVDD
HFC	1053	0.980V	1213.6PS	OCG_N	1.6G_2_LVDD
HFC	1054	0.980V	1213.6PS	PDN_A	1.6G_2_LVDD
HFC	1055	0.980V	1213.6PS	PDN_B	1.6G_2_LVDD
HFC	1056	0.980V	1213.6PS	DPDN_A	1.6G_2_LVDD
HFC	1057	0.980V	1213.6PS	ACM_A	1.6G_2_LVDD
HFC	1058	0.980V	1213.6PS	ACM_B	1.6G_2_LVDD
HFC	1059	0.980V	1213.6PS	ADC_A	1.6G_2_LVDD
HFC	1060	0.980V	1213.6PS	ADC_N	1.6G_2_LVDD
HFC	1061	0.980V	1213.6PS	DADC_A	1.6G_2_LVDD
HFC	1062	0.980V	1213.6PS	DADC_B	1.6G_2_LVDD
HFC	1063	0.980V	1213.6PS	DADC_C	1.6G_2_LVDD
HFC	1064	0.980V	1213.6PS	DBI_A	1.6G_2_LVDD
HFC	1065	0.980V	1213.6PS	D2I_A	1.6G_2_LVDD
HFC	1066	0.980V	1213.6PS	DB2_A	1.6G_2_LVDD
HFC	1067	0.980V	1213.6PS	DBG_A	1.6G_2_LVDD
HFC	1068	0.980V	1213.6PS	DBG_B	1.6G_2_LVDD
HFC	1069	0.980V	1213.6PS	GPB_A	1.6G_2_LVDD
HFC	1070	0.980V	1213.6PS	PP4_A	1.6G_2_LVDD
HFC	1071	0.980V	1213.6PS	PR2_A	1.6G_2_LVDD
HFC	1072	0.980V	1213.6PS	PR3_A	1.6G_2_LVDD
HFC	1073	0.980V	1213.6PS	PR3_N	1.6G_2_LVDD
HFC	1074	0.980V	1213.6PS	APO_A	1.6G_2_LVDD
HFC	1075	0.980V	1213.6PS	AWR_A	1.6G_2_LVDD
HFC	1076	0.980V	1213.6PS	IAP_A	1.6G_2_LVDD
HFC	1077	0.980V	1213.6PS	API_A	1.6G_2_LVDD
HFC	1078	0.980V	1213.6PS	CCD_A	1.6G_2_LVDD
HFC	1079	0.980V	1213.6PS	GPT_A	1.6G_2_LVDD
HFC	1080	0.980V	1213.6PS	CIP_A	1.6G_2_LVDD
HFC	1081	0.980V	1213.6PS	YMA_A	1.6G_2_LVDD
HFC	1082	0.980V	1213.6PS	YCG_A	1.6G_2_LVDD
HFC	1083	0.980V	1213.6PS	CYF_A	1.6G_2_LVDD
HFC	1084	0.980V	1213.6PS	GLY_A	1.6G_2_LVDD
HFC	1085	0.980V	1213.6PS	DYG_A	1.6G_2_LVDD
HFC	1086	0.980V	1213.6PS	CJP_A	1.6G_2_LVDD
HFC	1087	0.980V	1213.6PS	CJP_N	1.6G_2_LVDD
HFC	1088	0.980V	1213.6PS	IPM_A	1.6G_2_LVDD
HFC	1089	0.980V	1213.6PS	IPM_N	1.6G_2_LVDD
HFC	1090	0.980V	1213.6PS	IPM_C	1.6G_2_LVDD
HFC	1091	0.980V	1213.6PS	IPM_M	1.6G_2_LVDD
HFC	1092	0.980V	1213.6PS	PBR_A	1.6G_2_LVDD
HFC	1093	0.980V	1213.6PS	PBR_N	1.6G_2_LVDD
HFC	1094	0.980V	1213.6PS	PBR_C	1.6G_2_LVDD
HFC	1095	0.980V	1213.6PS	PBR_O	1.6G_2_LVDD
HFC	1096	0.980V	1213.6PS	PBR_B	1.6G_2_LVDD
HFC	1097	0.980V	1213.6PS	PBR_M	1.6G_2_LVDD
HFC	1098	0.980V	1213.6PS	PGK_A	1.6G_2_LVDD
HFC	1099	0.980V	1213.6PS	DPGK_A	1.6G_2_LVDD
HFC	1100	0.980V	1213.6PS	PGK_N	1.6G_2_LVDD
HFC	1101	0.980V	1213.6PS	PGK_M	1.6G_2_LVDD
HFC	1102	0.980V	1213.6PS	DPBR_A	1.6G_2_LVDD
HFC	1103	0.980V	1213.6PS	DPBR_B	1.6G_2_LVDD
HFC	1104	0.980V	1213.6PS	DPBR_C	1.6G_2_LVDD
HFC	1105	0.980V	1213.6PS	DPBR_N	1.6G_2_LVDD
HFC	1106	0.980V	1213.6PS	DPBR_M	1.6G_2_LVDD
HFC	1107	0.980V	1213.6PS	DPBR_O	1.6G_2_LVDD
HFC	1108	0.980V	1213.6PS	DIPM_A	1.6G_2_LVDD
HFC	1109	0.980V	1213.6PS	DIPM_B	1.6G_2_LVDD
HFC	1110	0.980V	1213.6PS	DIPM_C	1.6G_2_LVDD
HFC	1111	0.980V	1213.6PS	DIPM_D	1.6G_2_LVDD
HFC	1112	0.980V	1213.6PS	DIPM_E	1.6G_2_LVDD
HFC	1113	0.980V	1213.6PS	DIPM_F	1.6G_2_LVDD
HFC	1114	0.980V	1213.6PS	DIPM_N	1.6G_2_LVDD
HFC	1115	0.980V	1213.6PS	DIPM_M	1.6G_2_LVDD
HFC	1116	0.980V	1213.6PS	DIPM_O	1.6G_2_LVDD
HFC	1117	0.980V	1213.6PS	DIPM_P	1.6G_2_LVDD
HFC	1118	0.980V	1213.6PS	DIPM_Q	1.6G_2_LVDD
HFC	1119	0.980V	1213.6PS	DIPM_R	1.6G_2_LVDD
HFC	1120	0.980V	1213.6PS	4YF_A	1.6G_2_LVDD
